ts,co,humidity,light,lpg,motion,smoke,temp,hour,day,month
2020-07-12 00:01:34.385974646,0.28570153263112535,0.5050607208252857,0,0.3573143939073382,0,0.3438560119689632,0.7418300561115782,0,12,7
2020-07-12 00:01:34.735567570,0.12600987708541744,0.758097154225386,0,0.17449347574246363,0,0.16498915238113251,0.6437908665801546,0,12,7
2020-07-12 00:01:38.073572874,0.2872165743640902,0.5040485750916853,0,0.35892930667151624,0,0.345456478730756,0.7385620822961088,0,12,7
2020-07-12 00:01:39.589145899,0.2439710687633599,0.7661943509824257,1,0.3120866503947367,0,0.29916595526242884,0.8823529301767671,0,12,7
2020-07-12 00:01:41.761234999,0.286563822535342,0.5040485750916853,0,0.35823374702057253,0,0.3447671020042665,0.7385620822961088,0,12,7
2020-07-12 00:01:44.468410730,0.2430636543463292,0.7773279386079118,1,0.3110863113264679,0,0.2981804968950931,0.8823529301767671,0,12,7
2020-07-12 00:01:45.448863506,0.28721753875589284,0.5040485750916853,0,0.3589303340611616,0,0.3454574970315315,0.7385620822961088,0,12,7
2020-07-12 00:01:46.869076014,0.13340836787450494,0.758097154225386,0,0.18365445096432467,0,0.17382879989437985,0.6437908665801546,0,12,7
2020-07-12 00:01:48.275381565,0.23962712749586157,0.7773279386079118,1,0.30729097105120295,0,0.2944428266919872,0.8823529301767671,0,12,7
2020-07-12 00:01:49.136686802,0.28678210257531944,0.5040485750916853,0,0.35846637923531965,0,0.3449976597359494,0.7385620822961088,0,12,7
2020-07-12 00:01:52.798517942,0.28602380716168757,0.5040485750916853,0,0.3576580639280976,0,0.3441965809973927,0.7385620822961088,0,12,7
2020-07-12 00:01:55.288542509,0.24246287249764736,0.778340068897394,1,0.310423588996108,0,0.2975277062375534,0.8823529301767671,0,12,7
2020-07-12 00:01:56.498260498,0.2868869499123423,0.5040485750916853,0,0.35857810709854054,0,0.34510839362558665,0.7385620822961088,0,12,7
2020-07-12 00:01:59.098013639,0.2476293537666901,0.778340068897394,1,0.3161119324085576,0,0.3031326982272684,0.8823529301767671,0,12,7
2020-07-12 00:02:00.184931040,0.2863525615073626,0.5040485750916853,0,0.35800855964802347,0,0.3445439290317599,0.7385620822961088,0,12,7
2020-07-12 00:02:02.785731792,0.13091011296804234,0.7560728936464217,0,0.18057064850505647,0,0.1708515141914693,0.6437908665801546,0,12,7
2020-07-12 00:02:03.872619629,0.2872143916065216,0.5040485750916853,0,0.35892698132500267,0,0.3454541739560406,0.7385620822961088,0,12,7
2020-07-12 00:02:07.560188293,0.28602380716168757,0.5040485750916853,0,0.3576580639280976,0,0.3441965809973927,0.7385620822961088,0,12,7
2020-07-12 00:02:09.374152899,0.24671046808457886,0.7773279386079118,1,0.31510200968546265,0,0.3021372614795871,0.8823529301767671,0,12,7
2020-07-12 00:02:11.247800827,0.28571515970736205,0.5040485750916853,0,0.35732892732971566,0,0.34387041396084284,0.7385620822961088,0,12,7
2020-07-12 00:02:11.476376295,0.13340836787450494,0.7560728936464217,0,0.18365445096432467,0,0.17382879989437985,0.6437908665801546,0,12,7
2020-07-12 00:02:13.717256069,0.2430636543463292,0.7773279386079118,1,0.3110863113264679,0,0.2981804968950931,0.8823529301767671,0,12,7
2020-07-12 00:02:14.935363054,0.28538391751742975,0.5030364293580849,0,0.3569756124949326,0,0.34352030160173697,0.7385620822961088,0,12,7
2020-07-12 00:02:15.289086342,0.12600987708541744,0.758097154225386,0,0.17449347574246363,0,0.16498915238113251,0.6437908665801546,0,12,7
2020-07-12 00:02:18.622982740,0.28613239273962526,0.5040485750916853,0,0.35777383996311674,0,0.34431131562296535,0.7385620822961088,0,12,7
2020-07-12 00:02:19.641452551,0.12600987708541744,0.758097154225386,0,0.17449347574246363,0,0.16498915238113251,0.6470587905303009,0,12,7
2020-07-12 00:02:19.665980577,0.24231319337795704,0.7773279386079118,1,0.31025842620583544,0,0.2973650277026907,0.8823529301767671,0,12,7
2020-07-12 00:02:22.310558796,0.28345773515429407,0.5040485750916853,0,0.3549193574837275,0,0.3414829886552162,0.7385620822961088,0,12,7
2020-07-12 00:02:25.082584381,0.239478919937907,0.7813765369864317,1,0.30712704216886544,0,0.29428143205098145,0.8823529301767671,0,12,7
2020-07-12 00:02:25.998168230,0.28463066204837345,0.5040485750916853,0,0.35617184048227324,0,0.3427238720687126,0.7385620822961088,0,12,7
2020-07-12 00:02:28.818682909,0.13091011296804234,0.7570850239359038,0,0.18057064850505647,0,0.1708515141914693,0.6437908665801546,0,12,7
2020-07-12 00:02:29.685809612,0.28602380716168757,0.5040485750916853,0,0.3576580639280976,0,0.3441965809973927,0.7385620822961088,0,12,7
2020-07-12 00:02:32.100854635,0.2430636543463292,0.7844129278548782,1,0.3110863113264679,0,0.2981804968950931,0.8823529301767671,0,12,7
2020-07-12 00:02:33.172725677,0.12600987708541744,0.758097154225386,0,0.17449347574246363,0,0.16498915238113251,0.6470587905303009,0,12,7
2020-07-12 00:02:33.373032093,0.28250725903071455,0.5040485750916853,0,0.35390361163483497,0,0.3404767916007392,0.7385620822961088,0,12,7
2020-07-12 00:02:37.059236765,0.28710544588784237,0.5040485750916853,0,0.3588109139618908,0,0.34533913425342877,0.7418300561115782,0,12,7
2020-07-12 00:02:38.578041553,0.2430636543463292,0.7813765369864317,1,0.3110863113264679,0,0.2981804968950931,0.8823529301767671,0,12,7
2020-07-12 00:02:39.145456791,0.12844410571555492,0.758097154225386,0,0.17751710565661036,0,0.16790508854387046,0.6470587905303009,0,12,7
2020-07-12 00:02:40.992485285,0.28678428244965315,0.5040485750916853,0,0.3584687022501527,0,0.3449999620688218,0.7418300561115782,0,12,7
2020-07-12 00:02:42.920568705,0.2430636543463292,0.7803643294763584,1,0.3110863113264679,0,0.2981804968950931,0.8823529301767671,0,12,7
2020-07-12 00:02:44.677839041,0.2872143916065216,0.5040485750916853,0,0.35892698132500267,0,0.3454541739560406,0.7385620822961088,0,12,7
2020-07-12 00:02:47.256422757,0.13091011296804234,0.7570850239359038,0,0.18057064850505647,0,0.1708515141914693,0.6437908665801546,0,12,7
2020-07-12 00:02:47.261467934,0.2400722117698112,0.7803643294763584,1,0.30778314515618077,0,0.29492741369378295,0.8823529301767671,0,12,7
2020-07-12 00:02:48.364020109,0.2846328275805725,0.5040485750916853,0,0.3561741518875289,0,0.3427261622455655,0.7385620822961088,0,12,7
2020-07-12 00:02:52.050105572,0.28678210257531944,0.5040485750916853,0,0.35846637923531965,0,0.3449976597359494,0.7385620822961088,0,12,7
2020-07-12 00:02:53.217485428,0.2430636543463292,0.7823886672759138,1,0.3110863113264679,0,0.2981804968950931,0.8823529301767671,0,12,7
2020-07-12 00:02:55.371452570,0.12844410571555492,0.758097154225386,0,0.17751710565661036,0,0.16790508854387046,0.6470587905303009,0,12,7
2020-07-12 00:02:55.736314058,0.28645509337541947,0.5040485750916853,0,0.3581178548101256,0,0.344652245725685,0.7385620822961088,0,12,7
2020-07-12 00:02:58.632018328,0.24579446548706274,0.7854250581443604,1,0.31409449290562896,0,0.3011443302757355,0.8823529301767671,0,12,7
2020-07-12 00:02:59.422309160,0.2856014092988668,0.5040485750916853,0,0.35720760681246033,0,0.34375019137841434,0.7385620822961088,0,12,7
2020-07-12 00:03:00.794463634,0.12600987708541744,0.7570850239359038,0,0.17449347574246363,0,0.16498915238113251,0.6437908665801546,0,12,7
